t,gx,gy,pupil,valid,subj,trial,label
0.0,960.2643021485336,541.5946672811672,4.1549201047975854,1,0,8,1
0.008333333333333333,959.452874836615,542.0738779413044,4.065807062984987,1,0,8,1
0.016666666666666666,959.1905208061164,541.968653434072,4.107171523549012,1,0,8,1
0.025,959.8402919057536,541.8775094812554,4.147392051811205,1,0,8,1
0.03333333333333333,961.0162028869169,542.3847735084751,4.106799348924892,1,0,8,1
0.041666666666666664,959.9848673879069,542.3638054170328,4.078913258118987,1,0,8,1
0.05,959.0350438814149,542.4335998444317,4.092814991779474,1,0,8,1
0.058333333333333334,958.6568391526766,542.9779877470615,4.0539735050128005,1,0,8,1
0.06666666666666667,958.1699095537488,543.670878766797,4.099147504306241,1,0,8,1
0.075,957.7840844364272,543.7887614044273,4.09047670982419,1,0,8,1
0.08333333333333333,956.9894244573492,543.3019044264762,4.10686358732381,1,0,8,1
0.09166666666666666,957.5308916175288,543.0683210001242,4.085891023480856,1,0,8,1
0.1,955.7826925594765,542.0936456034353,4.142531696279511,1,0,8,1
0.10833333333333334,955.5983092779854,541.2231165561177,4.183354786221279,1,0,8,1
0.11666666666666667,955.1762020127894,541.2953688765009,4.0670574974406914,1,0,8,1
0.125,955.0713546315075,541.7825251833066,4.1794643505988525,1,0,8,1
0.13333333333333333,955.2055070355938,541.576283527748,4.058714015132125,1,0,8,1
0.14166666666666666,954.8067973898663,541.6189697666493,4.073488675420937,1,0,8,1
0.15,954.9898897199,540.335131605247,4.123715522910279,1,0,8,1
0.15833333333333333,955.8446884732119,539.9970656575676,4.079195105060567,1,0,8,1
0.16666666666666666,956.420743788515,541.1712987538291,4.016364064857678,1,0,8,1
0.175,955.822623114991,541.1447358154434,4.093251826964501,1,0,8,1
0.18333333333333332,956.5832457129744,540.550933084509,4.091722402058098,1,0,8,1
0.19166666666666668,957.0426885035438,540.320930793877,4.173236916152892,1,0,8,1
0.2,956.9090956287708,541.0238836981517,4.111005770689306,1,0,8,1
0.20833333333333334,955.7963545805264,539.9996570684724,4.1357173907674865,1,0,8,1
0.21666666666666667,955.3646909637664,540.6235736016333,4.161854276343896,1,0,8,1
0.225,954.9543909714356,540.3435784303998,4.101337957827549,1,0,8,1
0.23333333333333334,955.291417340322,540.87367598415,4.13839407811706,1,0,8,1
0.24166666666666667,955.1404497642303,540.0538997546968,4.122027185178806,1,0,8,1
0.25,955.3448885052488,538.3946949504442,4.169626143912191,1,0,8,1
0.25833333333333336,955.868949714455,538.6482292963473,4.127142700354332,1,0,8,1
0.26666666666666666,955.609318271651,538.844537831991,4.167368110057144,1,0,8,1
0.275,956.4954165035848,539.0527562147589,4.1287338052352975,1,0,8,1
0.2833333333333333,957.3251813236348,539.2355720525692,4.1404938120657055,1,0,8,1
