file,subj,trial,label
data/sim/subj0_trial0.csv,0,0,1
data/sim/subj0_trial1.csv,0,1,0
data/sim/subj0_trial2.csv,0,2,0
data/sim/subj0_trial3.csv,0,3,0
data/sim/subj0_trial4.csv,0,4,1
data/sim/subj0_trial5.csv,0,5,0
data/sim/subj0_trial6.csv,0,6,0
data/sim/subj0_trial7.csv,0,7,1
data/sim/subj0_trial8.csv,0,8,1
data/sim/subj0_trial9.csv,0,9,0
data/sim/subj1_trial0.csv,1,0,1
data/sim/subj1_trial1.csv,1,1,0
data/sim/subj1_trial2.csv,1,2,0
data/sim/subj1_trial3.csv,1,3,0
data/sim/subj1_trial4.csv,1,4,0
data/sim/subj1_trial5.csv,1,5,1
data/sim/subj1_trial6.csv,1,6,1
data/sim/subj1_trial7.csv,1,7,1
data/sim/subj1_trial8.csv,1,8,1
data/sim/subj1_trial9.csv,1,9,0
data/sim/subj2_trial0.csv,2,0,0
data/sim/subj2_trial1.csv,2,1,0
data/sim/subj2_trial2.csv,2,2,0
data/sim/subj2_trial3.csv,2,3,1
data/sim/subj2_trial4.csv,2,4,1
data/sim/subj2_trial5.csv,2,5,0
data/sim/subj2_trial6.csv,2,6,0
data/sim/subj2_trial7.csv,2,7,1
data/sim/subj2_trial8.csv,2,8,0
data/sim/subj2_trial9.csv,2,9,1
data/sim/subj3_trial0.csv,3,0,1
data/sim/subj3_trial1.csv,3,1,1
data/sim/subj3_trial2.csv,3,2,0
data/sim/subj3_trial3.csv,3,3,1
data/sim/subj3_trial4.csv,3,4,0
data/sim/subj3_trial5.csv,3,5,0
data/sim/subj3_trial6.csv,3,6,1
data/sim/subj3_trial7.csv,3,7,1
data/sim/subj3_trial8.csv,3,8,1
data/sim/subj3_trial9.csv,3,9,0
data/sim/subj4_trial0.csv,4,0,0
data/sim/subj4_trial1.csv,4,1,0
data/sim/subj4_trial2.csv,4,2,1
data/sim/subj4_trial3.csv,4,3,0
data/sim/subj4_trial4.csv,4,4,0
data/sim/subj4_trial5.csv,4,5,1
data/sim/subj4_trial6.csv,4,6,1
data/sim/subj4_trial7.csv,4,7,1
data/sim/subj4_trial8.csv,4,8,0
data/sim/subj4_trial9.csv,4,9,0
data/sim/subj5_trial0.csv,5,0,1
data/sim/subj5_trial1.csv,5,1,1
data/sim/subj5_trial2.csv,5,2,1
data/sim/subj5_trial3.csv,5,3,0
data/sim/subj5_trial4.csv,5,4,0
data/sim/subj5_trial5.csv,5,5,1
data/sim/subj5_trial6.csv,5,6,0
data/sim/subj5_trial7.csv,5,7,1
data/sim/subj5_trial8.csv,5,8,0
data/sim/subj5_trial9.csv,5,9,0
data/sim/subj6_trial0.csv,6,0,1
data/sim/subj6_trial1.csv,6,1,0
data/sim/subj6_trial2.csv,6,2,1
data/sim/subj6_trial3.csv,6,3,0
data/sim/subj6_trial4.csv,6,4,1
data/sim/subj6_trial5.csv,6,5,1
data/sim/subj6_trial6.csv,6,6,0
data/sim/subj6_trial7.csv,6,7,0
data/sim/subj6_trial8.csv,6,8,0
data/sim/subj6_trial9.csv,6,9,1
data/sim/subj7_trial0.csv,7,0,0
data/sim/subj7_trial1.csv,7,1,0
data/sim/subj7_trial2.csv,7,2,1
data/sim/subj7_trial3.csv,7,3,1
data/sim/subj7_trial4.csv,7,4,1
data/sim/subj7_trial5.csv,7,5,0
data/sim/subj7_trial6.csv,7,6,0
data/sim/subj7_trial7.csv,7,7,1
data/sim/subj7_trial8.csv,7,8,0
data/sim/subj7_trial9.csv,7,9,0
